molecule,voltage_vacuum_v,voltage_li_v,fraction_reduced,mean_charge_e
DMC,-0.9299999999999995,0.4700000000000004,0.029847987879730975,-0.029847987879730975
DMC,-0.9199999999999995,0.4800000000000004,0.02046919442220023,-0.02046919442220023
DMC,-0.9099999999999995,0.49000000000000044,0.013994880786550912,-0.013994880786550912
DMC,-0.8999999999999995,0.5000000000000004,0.009548401496339159,-0.009548401496339159
DMC,-0.8899999999999995,0.5100000000000005,0.006505344964601152,-0.006505344964601152
DMC,-0.8799999999999994,0.5200000000000005,0.00442776896755347,-0.00442776896755347
DMC,-0.8699999999999994,0.5300000000000005,0.0030116855620382623,-0.0030116855620382623
DMC,-0.8599999999999994,0.5400000000000005,0.0020475606953353027,-0.0020475606953353027
DMC,-0.8499999999999994,0.5500000000000005,0.0013916483705822534,-0.0013916483705822534
DMC,-0.8399999999999994,0.5600000000000005,0.0009456508508809241,-0.0009456508508809241
DMC,-0.8299999999999994,0.5700000000000005,0.0006424953108807093,-0.0006424953108807093
DMC,-0.8199999999999994,0.5800000000000005,0.00043648252626519155,-0.00043648252626519155
DMC,-0.8099999999999994,0.5900000000000005,0.00029650707216418196,-0.00029650707216418196
DMC,-0.7999999999999994,0.6000000000000005,0.00020141126059687966,-0.00020141126059687966
DMC,-0.7899999999999994,0.6100000000000005,0.00013681042420450202,-0.00013681042420450202
DMC,-0.7799999999999994,0.6200000000000006,9.292779472620234e-05,-9.292779472620234e-05
DMC,-0.7699999999999994,0.6300000000000006,6.311985009399821e-05,-6.311985009399821e-05
DMC,-0.7599999999999993,0.6400000000000006,4.287282821030789e-05,-4.287282821030789e-05
DMC,-0.7499999999999993,0.6500000000000006,2.91202760722435e-05,-2.91202760722435e-05
DMC,-0.7399999999999993,0.6600000000000006,1.9779118217388168e-05,-1.9779118217388168e-05
DMC,-0.7299999999999993,0.6700000000000006,1.3434362511106376e-05,-1.3434362511106376e-05
DMC,-0.7199999999999993,0.6800000000000006,9.12486222889968e-06,-9.12486222889968e-06
DMC,-0.7099999999999993,0.6900000000000006,6.197763051462091e-06,-6.197763051462091e-06
DMC,-0.6999999999999993,0.7000000000000006,4.209623094627414e-06,-4.209623094627414e-06
DMC,-0.6899999999999993,0.7100000000000006,2.859243754540747e-06,-2.859243754540747e-06
DMC,-0.6799999999999993,0.7200000000000006,1.942043532813045e-06,-1.942043532813045e-06
DMC,-0.6699999999999993,0.7300000000000006,1.3190662627750923e-06,-1.3190662627750923e-06
DMC,-0.6599999999999993,0.7400000000000007,8.959302036650835e-07,-8.959302036650835e-07
DMC,-0.6499999999999992,0.7500000000000007,6.08529566359193e-07,-6.08529566359193e-07
DMC,-0.6399999999999992,0.7600000000000007,4.1332259753977576e-07,-4.1332259753977576e-07
DMC,-0.6299999999999992,0.7700000000000007,2.807350182859669e-07,-2.807350182859669e-07
DMC,-0.6199999999999992,0.7800000000000007,1.9067950218326135e-07,-1.9067950218326135e-07
DMC,-0.6099999999999992,0.7900000000000007,1.2951241966356547e-07,-1.2951241966356547e-07
DMC,-0.5999999999999992,0.8000000000000007,8.796680464306245e-08,-8.796680464306245e-08
DMC,-0.5899999999999992,0.8100000000000007,5.974839043301135e-08,-5.974839043301135e-08
DMC,-0.5799999999999992,0.8200000000000007,4.058201433490952e-08,-4.058201433490952e-08
DMC,-0.5699999999999992,0.8300000000000007,2.756392039045255e-08,-2.756392039045255e-08
DMC,-0.5599999999999992,0.8400000000000007,1.872183322021128e-08,-1.872183322021128e-08
DMC,-0.5499999999999992,0.8500000000000008,1.2716153332551084e-08,-1.2716153332551084e-08
DMC,-0.5399999999999991,0.8600000000000008,8.637004366157046e-09,-8.637004366157046e-09
DMC,-0.5299999999999991,0.8700000000000008,5.866384461757436e-09,-5.866384461757436e-09
DMC,-0.5199999999999991,0.8800000000000008,3.984537365456342e-09,-3.984537365456342e-09
DMC,-0.5099999999999991,0.8900000000000008,2.7063582536452807e-09,-2.7063582536452807e-09
DMC,-0.4999999999999991,0.9000000000000008,1.8381996006785886e-09,-1.8381996006785886e-09
DMC,-0.4899999999999991,0.9100000000000008,1.2485330670625924e-09,-1.2485330670625924e-09
DMC,-0.4799999999999991,0.9200000000000008,8.480226079248457e-10,-8.480226079248457e-10
DMC,-0.4699999999999991,0.9300000000000008,5.759898255247471e-10,-5.759898255247471e-10
DMC,-0.4599999999999991,0.9400000000000008,3.912210311125111e-10,-3.912210311125111e-10
DMC,-0.44999999999999907,0.9500000000000008,2.657232617541917e-10,-2.657232617541917e-10
DMC,-0.43999999999999906,0.9600000000000009,1.8048327216370502e-10,-1.8048327216370502e-10
DMC,-0.42999999999999905,0.9700000000000009,1.225869775757912e-10,-1.225869775757912e-10
DMC,-0.41999999999999904,0.9800000000000009,8.326293562130198e-11,-8.326293562130198e-11
DMC,-0.40999999999999903,0.9900000000000009,5.655344952038927e-11,-5.655344952038927e-11
DMC,-0.399999999999999,1.0000000000000009,3.841196120173278e-11,-3.841196120173278e-11
